"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47","404 и 422 ошибки на PATCH и DELETE по некорректным и несуществующим id","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:03 UTC 2025","","test_users_http_errors","",""
"","76","Проверка количества страниц в пагинации на каждой странице для size=8","tests.api","Thu Jun 12 15:50:02 UTC 2025","passed","Thu Jun 12 15:50:02 UTC 2025","","test_pagination","",""
"","79","Проверка удаления пользователя (DELETE)","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:03 UTC 2025","","test_users_delete","",""
"","81","404 Not Found на удалённого пользователя","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:04 UTC 2025","","test_users_http_errors","",""
"","50","404 и 422 ошибки на PATCH и DELETE по некорректным и несуществующим id","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:03 UTC 2025","","test_users_http_errors","",""
"","25","Проверка получения пользователя по несуществующему id","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:03 UTC 2025","","test_users_get","",""
"","27","Проверка количества объектов на странице при size=10","tests.api","Thu Jun 12 15:50:02 UTC 2025","passed","Thu Jun 12 15:50:02 UTC 2025","","test_pagination","",""
"","23","405 Method Not Allowed на запрещённые эндпоинты","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:03 UTC 2025","","test_users_http_errors","",""
"","24","405 Method Not Allowed на запрещённые эндпоинты","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:03 UTC 2025","","test_users_http_errors","",""
"","44","Проверка получения пользователя по несуществующему id","tests.api","Thu Jun 12 15:50:03 UTC 2025","passed","Thu Jun 12 15:50:03 UTC 2025","","test_users_get","",""
"","102","Проверка количества страниц в пагинации на каждой странице для size=5","tests.api","Thu Jun 12 15:50:02 UTC 2025","passed","Thu Jun 12 15:50:02 UTC 2025","","test_pagination","",""
"","24","Проверка валидации полей (email, avatar) при создании пользователя","tests.api","Thu Jun 12 15:50:04 UTC 2025","passed","Thu Jun 12 15:50:04 UTC 2025","","test_users_validations","",""
