"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Проверка обновления данных пользователя (PATCH)","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_patch","",""
"","27","Проверка получения всех пользователей","tests.api","Fri Jun 20 19:01:36 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_all_users","",""
"","4","404 и 422 ошибки на PATCH и DELETE по некорректным и несуществующим id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_http_errors","",""
"","10","Проверка получения пользователя по несуществующему id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_get","",""
"","10","Проверка получения пользователя по несуществующему id","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_users_get","",""
"","1","Проверка валидации полей (email, avatar) при создании пользователя","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_validations","",""
"","29","Проверка количества страниц в пагинации на каждой странице для size=8","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_pagination","",""
"","77","Проверка количества страниц в пагинации на каждой странице для size=3","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_pagination","",""
"","34","Smoke: Получение пользователя по id","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_smoke","",""
"","21","Проверка обновления данных пользователя (PATCH)","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_patch","",""
"","32","Smoke: Создание пользователя","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_smoke","",""
"","14","Проверка получения пользователя по несуществующему id","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_users_get","",""
"","2","Проверка валидации полей (email, avatar) при создании пользователя","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_validations","",""
"","23","Проверка количества объектов на странице при size=1","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_pagination","",""
"","2","Проверка валидации полей (email, avatar) при создании пользователя","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_validations","",""
"","2","405 Method Not Allowed на запрещённые эндпоинты","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_http_errors","",""
"","58","Пользовательский флоу: создать, прочитать, обновить, удалить","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_users_flow","",""
"","1","405 Method Not Allowed на запрещённые эндпоинты","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_http_errors","",""
"","18","Проверка удаления пользователя (DELETE)","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_users_delete","",""
"","3","404 и 422 ошибки на PATCH и DELETE по некорректным и несуществующим id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_http_errors","",""
"","23","404 и 422 ошибки на PATCH и DELETE по некорректным и несуществующим id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_http_errors","",""
"","2","Проверка получения пользователя по невалидному типу данных id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_get","",""
"","2","405 Method Not Allowed на запрещённые эндпоинты","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_http_errors","",""
"","23","Проверка количества объектов на странице при size=7","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_pagination","",""
"","2","Создание пользователя без обязательного поля (email)","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_validations","",""
"","42","Проверка создания нового пользователя","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_post","",""
"","12","Проверка получения пользователя по id","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_users_get","",""
"","11","Smoke: Список пользователей доступен","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_smoke","",""
"","0","Проверка отсутствия дубликата существующих пользователей","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_all_users","",""
"","1","Проверка получения пользователя по невалидному типу данных id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_get","",""
"","26","Проверка возвращения  разных объектов на разных страницах","tests.api","Fri Jun 20 19:01:37 UTC 2025","passed","Fri Jun 20 19:01:37 UTC 2025","","test_pagination","",""
"","2","Проверка получения пользователя по невалидному типу данных id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_get","",""
"","23","Проверка получения пользователя по несуществующему id","tests.api","Fri Jun 20 19:01:38 UTC 2025","passed","Fri Jun 20 19:01:38 UTC 2025","","test_users_get","",""
